Distance,Delivery_Person_Experience,Restaurant_Rating,Customer_Rating,Delivery_Time,Order_Cost,Tip_Amount,Customer_Latitude,Customer_Longitude,Restaurant_Latitude,Restaurant_Longitude,Calculated_Distance,Order_Hour,Order_Day,Order_Month,Rush_Hour,Delivery_Status_Binary,Weather_Conditions_Rainy,Weather_Conditions_Snowy,Weather_Conditions_Sunny,Traffic_Conditions_Low,Traffic_Conditions_Medium,Order_Priority_Low,Order_Priority_Medium,Vehicle_Type_Bike,Vehicle_Type_Car
13.65,9.0,2.9,4.0,105.53,1813.25,13.43,15.372184,81.192175,13.79455,78.669119,323.2436774297182,,,,0.0,1,False,True,False,False,False,True,False,False,True
19.26,10.0,4.0,3.4,43.19,1378.89,99.58,20.391596,78.35831,13.595826,87.437759,1225.4185868336122,,,,0.0,0,False,False,False,False,True,True,False,True,False
5.18,7.0,4.3,2.8,39.7,1393.22,48.67,20.90434,77.535905,14.054784,84.733876,1077.9277942247131,,,,0.0,0,False,False,True,False,True,False,False,True,False
7.14,5.0,3.6,3.4,98.27,238.22,1.71,20.755161,80.352103,17.361127,79.954404,379.70603458979826,,,,0.0,1,False,False,False,False,False,True,False,False,False
5.58,1.0,2.8,3.1,32.22,1966.58,46.07,14.702472,87.730108,15.846967,78.528528,995.1016272962996,,,,0.0,0,True,False,False,True,False,False,True,True,False
11.06,5.0,3.1,4.6,105.6,1888.02,21.64,17.731821,80.929601,14.154959,86.969719,758.3152025950847,,,,0.0,1,False,False,True,False,True,False,True,True,False
3.61,7.0,3.6,4.4,80.74,1028.4,61.68,18.407158,83.443782,20.356516,87.150792,445.1465017295575,,,,0.0,1,True,False,False,True,False,False,False,False,True
2.76,2.0,4.0,3.4,22.99,1683.47,36.8,21.852091,81.820285,12.73781,86.919703,1148.6490915504596,,,,0.0,0,False,False,False,False,True,False,True,False,False
8.29,5.0,4.7,2.8,102.31,853.04,75.07,20.974232,80.728561,13.820324,85.504206,942.9321395236518,,,,0.0,1,True,False,False,False,True,False,True,False,True
7.17,3.0,4.6,2.6,40.22,261.98,48.61,15.605301,84.813409,20.08949,77.152126,951.6544764753423,,,,0.0,0,False,True,False,True,False,False,True,True,False
4.87,10.0,2.8,4.4,34.47,1022.85,22.82,20.091229,80.580827,14.156297,84.191408,763.25037619903,,,,0.0,0,False,False,True,True,False,False,True,True,False
24.1,5.0,2.5,2.6,87.96,1528.96,54.55,17.012613,78.845912,14.558344,77.803961,294.79372025403,,,,0.0,1,False,False,True,False,False,False,False,False,False
12.59,9.0,4.0,3.9,18.89,1318.53,63.27,20.287421,78.348979,18.448297,78.690502,207.61539957228638,,,,0.0,0,True,False,False,True,False,False,True,False,False
8.84,6.0,2.5,3.2,66.84,132.05,23.67,18.793881,82.333879,14.881524,83.580509,454.80654915488583,,,,0.0,0,False,False,False,True,False,False,False,False,False
9.51,9.0,2.9,2.8,67.53,1310.61,73.72,19.831199,79.788236,13.444446,79.520149,710.7478981521037,,,,0.0,0,False,False,False,False,True,False,False,False,False
8.47,3.0,4.8,4.8,106.37,1762.75,4.28,21.746569,77.152905,17.186588,86.942375,1144.2757074992264,,,,0.0,1,False,False,True,False,False,False,False,False,True
23.23,3.0,3.2,3.8,61.59,807.09,1.44,18.214891,82.606697,14.159996,86.423698,607.7383523187373,,,,0.0,0,False,False,True,False,False,True,False,False,False
16.45,5.0,2.8,4.6,71.81,303.78,90.85,14.850875,78.609187,18.056226,79.16055,361.23458053358814,,,,0.0,0,False,False,False,False,True,False,True,False,False
16.64,9.0,4.6,3.7,66.11,1327.03,15.58,14.884442,79.422718,19.142611,79.034599,475.28075283562004,,,,0.0,0,False,True,False,True,False,True,False,True,False
4.79,9.0,3.9,3.3,59.42,443.28,4.8,17.690598,83.089253,12.165091,82.24713,621.0285464854375,,,,0.0,0,False,False,True,True,False,False,True,False,True
2.33,1.0,2.5,3.9,94.66,412.31,70.45,21.941596,85.76634,20.060287,85.547677,210.4197791770091,,,,0.0,1,False,True,False,False,True,False,True,True,False
7.87,8.0,4.4,3.5,39.37,497.76,39.87,16.426728,79.20455,19.481325,79.353291,340.0197998424333,,,,0.0,0,False,True,False,False,True,False,False,True,False
8.97,7.0,4.6,4.1,106.23,360.86,70.19,12.439207,86.374354,12.744838,84.520444,204.03647677328308,,,,0.0,1,False,False,False,False,False,False,True,False,False
5.27,9.0,4.7,3.1,80.66,997.01,33.28,17.374095,85.883475,14.740708,87.492437,339.552390527181,,,,0.0,1,True,False,False,False,True,False,True,False,True
2.72,2.0,3.8,4.1,100.79,1606.4,50.81,16.09293,83.497623,14.216243,82.909317,218.02058848138796,,,,0.0,1,False,False,True,False,True,False,False,False,True
6.54,7.0,4.2,3.8,78.07,1732.01,38.99,13.276315,83.081724,16.065326,82.663951,313.36226762667513,,,,0.0,1,False,False,True,False,False,False,False,False,True
12.44,3.0,4.1,3.0,28.39,849.05,64.72,14.334146,86.906413,15.405122,77.677359,998.893857054998,,,,0.0,0,True,False,False,True,False,False,True,True,False
3.92,10.0,3.9,4.0,98.89,1305.93,21.49,12.628599,87.09608,15.378239,87.153181,305.80806482824676,,,,0.0,1,False,True,False,True,False,False,True,False,False
8.23,10.0,2.9,2.9,113.45,925.63,3.32,20.407941,82.416335,19.834406,86.147854,394.7767011802181,,,,0.0,1,True,False,False,True,False,False,False,False,False
15.87,7.0,3.2,3.6,73.72,477.39,36.23,21.878381,80.343123,12.233726,78.803931,1084.809496799442,,,,0.0,1,False,True,False,False,True,False,True,True,False
22.31,3.0,4.9,4.5,59.07,540.74,39.49,15.667688,85.451696,18.000511,86.990308,306.7539701295375,,,,0.0,0,False,False,False,False,False,False,True,False,False
13.09,6.0,4.6,5.0,47.46,1612.01,31.19,12.554543,85.771326,20.652816,81.058063,1030.8133707553666,,,,0.0,0,False,False,False,True,False,False,False,True,False
1.33,1.0,4.8,4.5,105.89,1007.65,10.55,17.813093,87.348104,20.923667,83.147978,560.0782430173232,,,,0.0,1,False,False,False,True,False,True,False,True,False
16.18,4.0,2.9,4.7,44.07,1680.43,93.35,21.578852,83.34626,17.339274,87.412689,635.5142497564372,,,,0.0,0,False,False,False,True,False,False,True,False,False
12.2,7.0,2.5,2.7,63.55,432.42,63.7,12.839898,86.389567,13.807188,84.140009,266.1079948767577,,,,0.0,0,True,False,False,False,False,True,False,True,False
24.68,5.0,3.4,3.7,69.7,960.5,70.88,21.938144,85.950928,16.471968,87.586077,631.5733804170725,,,,0.0,0,False,False,True,False,True,False,False,False,True
12.27,1.0,3.5,3.2,68.07,911.34,77.14,16.46274,83.124063,21.308691,82.256718,546.5111031601632,,,,0.0,0,False,True,False,False,True,False,True,True,False
19.52,7.0,3.0,3.6,15.42,1736.73,27.46,12.151614,83.536485,21.417753,78.073953,1182.7218365090473,,,,0.0,0,False,True,False,False,False,True,False,True,False
16.66,8.0,3.3,4.7,59.63,813.34,95.01,18.143633,82.100522,17.856045,87.01613,520.8058292603477,,,,0.0,0,False,False,True,False,True,False,True,True,False
13.23,1.0,2.6,4.6,24.49,1234.19,24.16,20.80843,84.140846,21.922618,86.550825,278.61393033993266,,,,0.0,0,False,False,False,True,False,False,True,False,False
16.25,8.0,3.1,2.7,88.3,870.65,10.16,14.369941,78.390423,16.142483,78.662479,199.24654251734398,,,,0.0,1,False,False,False,True,False,True,False,True,False
2.73,9.0,4.0,3.5,77.06,1598.74,12.65,14.322621,78.048464,18.558171,86.580946,1024.3415101334947,,,,0.0,1,False,False,True,True,False,False,True,False,True
1.19,5.0,2.8,4.4,112.41,745.3,55.52,21.407071,87.17565,20.67778,79.230353,828.4470619569887,,,,0.0,1,True,False,False,True,False,False,False,False,True
1.44,3.0,4.3,2.8,115.63,915.87,9.22,13.690148,80.640997,15.781756,85.254477,547.893596681864,,,,0.0,1,False,False,False,True,False,False,True,False,True
15.93,8.0,3.3,3.8,72.59,1677.86,68.17,16.879577,87.630526,13.978662,79.021404,977.3710025683918,,,,0.0,0,False,True,False,False,False,True,False,True,False
11.44,6.0,3.7,3.2,82.87,185.33,13.93,19.205708,82.751826,18.260038,86.506433,409.1084892166495,,,,0.0,1,True,False,False,False,True,True,False,False,True
11.18,8.0,4.4,2.9,85.19,238.3,92.51,21.722421,86.686697,16.64932,87.883971,577.9340693245962,,,,0.0,1,True,False,False,False,False,True,False,True,False
24.9,3.0,4.6,4.5,66.84,1813.25,15.12,17.741606,82.836676,13.045647,78.023608,733.9677136897163,,,,0.0,0,False,True,False,False,True,True,False,False,True
12.69,10.0,4.6,2.7,71.98,1170.82,33.33,18.131959,82.591629,17.944584,77.124149,578.428910713442,,,,0.0,0,False,True,False,False,True,False,False,False,False
3.12,3.0,3.7,4.1,53.53,1341.69,84.08,17.570105,86.216081,14.92959,85.928692,295.21002334456807,,,,0.0,0,True,False,False,False,False,True,False,False,False
8.94,2.0,4.2,3.5,72.91,498.89,6.8,16.032865,82.008362,19.765919,78.907022,529.0961592997373,,,,0.0,1,False,False,True,True,False,False,False,False,False
22.84,2.0,2.7,4.3,115.32,1444.92,3.88,15.963105,82.053527,13.993396,83.135677,247.95336689009036,,,,0.0,1,False,True,False,True,False,True,False,False,False
14.9,8.0,2.8,3.9,74.07,1924.41,90.53,12.097594,78.076413,19.994171,78.614499,879.9363657707604,,,,0.0,1,True,False,False,False,False,True,False,False,False
22.1,1.0,4.1,3.8,65.57,326.77,82.38,17.091127,82.038006,17.372605,87.820444,614.8903203413167,,,,0.0,0,True,False,False,False,False,False,True,True,False
18.68,1.0,3.6,3.3,91.6,549.34,59.74,16.734343,79.574419,19.049631,77.131806,364.7927785510668,,,,0.0,1,False,False,True,False,False,False,True,False,False
7.6,6.0,3.2,4.5,69.67,220.57,83.17,15.450302,81.048616,12.313686,81.756209,357.0393926833598,,,,0.0,0,True,False,False,True,False,False,True,True,False
2.29,8.0,4.5,4.6,79.35,672.02,1.32,12.215745,78.482179,19.931184,79.451584,864.1360238946274,,,,0.0,1,False,False,True,False,True,False,True,False,True
6.74,2.0,3.2,3.0,79.09,291.97,6.78,17.981471,86.95142,18.781496,85.251288,200.24304434947067,,,,0.0,1,True,False,False,True,False,True,False,True,False
16.35,7.0,4.4,3.0,104.6,1208.91,30.92,13.175292,87.081743,17.005465,80.652715,810.8921084285644,,,,0.0,1,True,False,False,False,True,True,False,False,False
12.02,6.0,3.4,3.0,60.18,1416.3,97.57,12.123307,84.813429,17.537451,84.858854,602.0451277792024,,,,0.0,0,False,False,True,False,True,True,False,False,False
24.26,7.0,4.6,2.8,52.03,1030.11,84.51,21.46076,79.294489,17.241296,79.143973,469.4484875818097,,,,0.0,0,False,True,False,False,False,False,False,False,False
0.56,2.0,4.1,4.9,16.48,1624.41,43.14,13.362809,81.139969,18.988702,85.352561,770.399515859278,,,,0.0,0,False,False,True,False,True,True,False,True,False
14.09,7.0,3.8,2.6,67.22,1036.37,88.66,14.668125,79.410968,18.396521,80.921505,444.7374102779964,,,,0.0,0,True,False,False,False,True,True,False,False,False
9.59,3.0,4.9,4.2,15.23,240.39,83.16,21.047258,87.456557,15.704977,78.651575,1102.3536112884474,,,,0.0,0,True,False,False,False,False,False,False,False,False
21.74,7.0,3.8,2.8,113.29,1780.36,60.43,12.929956,78.21257,18.693339,84.602388,936.7640043413209,,,,0.0,1,False,True,False,False,True,False,False,True,False
9.17,5.0,5.0,3.1,118.8,236.86,7.41,20.647159,78.225933,13.209912,82.039972,920.9857460194906,,,,0.0,1,True,False,False,True,False,False,False,False,False
7.7,9.0,4.7,3.8,20.29,1395.31,18.08,21.402659,79.959544,17.40514,82.424215,514.1630359167078,,,,0.0,0,False,True,False,True,False,False,True,True,False
12.73,1.0,2.5,3.8,118.26,713.21,2.96,12.396437,78.148824,12.352906,85.095338,754.4658883083503,,,,0.0,1,False,False,False,False,True,False,True,True,False
8.5,2.0,2.6,4.1,107.95,1553.43,45.26,13.290933,81.032454,16.618421,86.599879,703.1960018957066,,,,0.0,1,True,False,False,False,True,False,True,True,False
10.0,4.0,4.5,3.2,109.67,318.86,1.28,14.485949,77.200453,17.647837,85.282537,932.2325171090823,,,,0.0,1,False,False,False,False,False,False,False,False,False
2.12,1.0,3.6,3.0,23.1,496.05,13.11,20.351571,85.936744,12.745319,79.871156,1064.201587818861,,,,0.0,0,False,False,False,True,False,False,True,False,True
6.09,6.0,4.3,3.0,41.71,717.81,86.33,14.951015,78.976781,17.992389,80.410493,371.1256472459342,,,,0.0,0,False,False,False,True,False,True,False,False,True
3.25,5.0,4.1,3.7,77.65,389.76,27.09,14.269461,80.239348,18.8041,85.796332,777.7347170147405,,,,0.0,1,False,True,False,True,False,False,True,True,False
2.23,2.0,3.9,2.6,91.85,1221.92,26.45,16.580299,78.12065,13.520291,82.49965,580.3541742845292,,,,0.0,1,True,False,False,True,False,True,False,False,False
8.34,3.0,3.5,3.4,33.81,729.5,90.4,19.42553,79.177903,12.655972,85.639259,1021.1134221014355,,,,0.0,0,False,False,True,False,True,True,False,False,True
13.44,5.0,3.9,2.9,21.21,1997.42,45.85,18.038568,84.144053,13.219121,82.828937,554.0799678127497,,,,0.0,0,False,True,False,False,True,False,True,False,False
22.15,1.0,3.8,4.6,91.22,1557.05,39.75,19.486415,78.557736,16.8342,83.728159,620.7355534811272,,,,0.0,1,False,False,True,True,False,False,False,False,True
12.33,7.0,4.8,2.7,77.25,122.3,64.79,12.021992,84.862769,13.966486,77.264234,851.1276977384236,,,,0.0,1,False,False,True,True,False,False,False,False,False
20.25,1.0,4.7,5.0,67.89,1035.53,48.5,18.068685,82.245599,15.166493,79.726667,419.7096300254089,,,,0.0,0,False,True,False,True,False,False,True,False,True
18.84,2.0,4.3,4.8,80.96,300.01,61.98,20.095563,85.38305,19.327674,81.556919,409.50422924811545,,,,0.0,1,False,False,True,False,False,False,True,False,False
10.11,5.0,3.9,4.0,100.6,250.08,24.16,13.245465,86.909466,15.021761,87.069326,198.26578200915543,,,,0.0,1,True,False,False,True,False,True,False,True,False
5.09,6.0,3.8,2.6,56.11,868.92,37.2,17.357117,82.942175,13.969167,79.186762,550.929147575188,,,,0.0,0,True,False,False,False,False,False,True,False,True
9.45,2.0,3.8,4.0,91.33,751.69,98.37,19.11305,87.619916,21.990214,86.925957,327.9812427102584,,,,0.0,1,False,False,False,False,True,True,False,True,False
13.03,7.0,4.8,4.1,44.99,1956.76,90.91,17.928196,83.588991,20.916119,82.187327,363.2953345575622,,,,0.0,0,False,False,False,False,True,True,False,True,False
11.57,2.0,3.7,4.5,22.69,1543.68,31.06,12.906973,78.121968,21.745007,86.139016,1299.2442673028968,,,,0.0,0,True,False,False,False,False,False,False,True,False
12.16,4.0,4.1,4.0,112.83,1098.6,87.91,17.459726,81.031916,16.77123,79.15117,214.02623478392812,,,,0.0,1,False,True,False,False,True,True,False,False,True
5.08,8.0,4.0,5.0,96.44,1304.29,53.37,20.302399,78.304548,16.455523,83.91901,730.5973484894413,,,,0.0,1,True,False,False,True,False,True,False,False,False
21.76,8.0,3.2,2.6,119.67,765.5,72.11,19.001364,82.216913,19.34114,85.781167,376.2416762605571,,,,0.0,1,False,False,True,True,False,False,False,False,False
19.82,7.0,3.8,2.6,18.9,397.51,40.14,20.277756,82.670628,18.021436,79.252727,437.96947949445945,,,,0.0,0,False,False,True,False,True,False,False,False,False
1.77,10.0,3.5,3.9,76.57,561.44,70.84,19.039561,82.29819,17.166845,79.763063,339.32908429112666,,,,0.0,1,False,False,True,False,True,True,False,True,False
1.7,10.0,4.6,2.6,61.58,467.76,36.41,14.436361,81.784262,17.794404,82.997255,395.23426339531403,,,,0.0,0,True,False,False,True,False,False,False,False,False
5.4,4.0,4.5,4.7,102.06,897.1,63.49,18.443716,78.904846,19.453432,82.20258,364.5304416269398,,,,0.0,1,False,False,True,True,False,False,True,False,False
14.33,10.0,2.5,2.6,68.88,1508.24,77.48,18.638164,85.11371,13.676438,80.227294,759.2955955211908,,,,0.0,0,False,False,False,False,True,False,False,True,False
24.45,8.0,4.7,4.3,86.8,223.6,2.22,21.751239,78.04432,21.615936,82.137932,423.2340745549744,,,,0.0,1,True,False,False,False,False,False,True,False,True
15.37,5.0,3.8,3.7,57.78,1134.97,14.8,21.139317,83.247471,12.393067,85.842775,1010.9364610472372,,,,0.0,0,False,True,False,False,True,False,False,False,True
0.52,6.0,3.7,3.3,55.23,852.22,63.29,20.666223,82.834515,15.495926,85.850249,657.3025101342494,,,,0.0,0,True,False,False,False,False,False,True,False,False
14.76,3.0,2.7,2.7,63.79,453.07,54.13,21.753675,85.07091,18.418958,80.989103,564.9073413832607,,,,0.0,0,False,False,True,True,False,True,False,False,False
9.17,6.0,3.0,3.2,107.53,1054.82,17.24,16.044164,81.042023,19.725197,85.023342,587.3255784952132,,,,0.0,1,False,True,False,True,False,False,False,False,False
13.48,2.0,3.5,4.2,92.43,1290.42,80.17,16.238579,82.385593,12.318846,81.789059,440.5671098991985,,,,0.0,1,False,False,False,False,True,True,False,True,False
18.18,3.0,3.6,4.9,94.6,1107.24,30.76,20.983462,77.096783,12.456291,81.308049,1048.6616661419412,,,,0.0,1,False,False,True,True,False,False,True,False,True
21.16,5.0,4.5,3.0,108.42,1705.35,99.74,14.287338,80.044069,18.165321,79.353856,437.46036388731085,,,,0.0,1,False,True,False,True,False,False,True,False,False
8.08,5.0,4.2,4.2,85.42,1958.47,50.95,17.814519,83.281902,21.748801,78.560796,659.7375813449855,,,,0.0,1,False,False,False,False,True,True,False,False,False
21.56,5.0,3.5,2.8,50.16,1653.28,3.93,21.156634,80.556935,12.349095,85.310478,1102.1127965252056,,,,0.0,0,False,False,True,True,False,False,True,False,True
9.62,9.0,3.7,3.1,110.3,208.45,16.95,18.383287,85.635688,13.553503,87.773861,583.6349586593071,,,,0.0,1,False,False,True,False,True,False,False,False,False
20.49,4.0,3.9,2.9,87.07,1156.3,98.67,13.965938,87.001634,16.4162,77.01058,1106.0249102136522,,,,0.0,1,False,False,False,True,False,False,False,True,False
22.32,2.0,2.9,3.3,28.65,1775.18,47.47,15.797555,79.369911,12.110201,80.261562,421.14970995127237,,,,0.0,0,True,False,False,False,False,True,False,False,False
13.61,7.0,4.9,4.4,40.6,1244.2,7.9,18.645129,83.470304,14.221925,78.069703,757.2571513122987,,,,0.0,0,True,False,False,True,False,False,False,False,True
20.77,2.0,3.9,3.8,58.53,1027.6,88.45,20.426945,83.95039,17.153309,86.106388,428.94698831000096,,,,0.0,0,False,False,True,False,True,False,True,False,True
7.94,8.0,2.8,3.9,34.51,1645.31,76.89,12.776104,77.018445,18.657911,78.408433,670.7183004924581,,,,0.0,0,False,False,True,False,True,True,False,False,True
18.07,1.0,4.9,3.4,16.98,1168.58,57.56,18.315683,82.648086,15.079457,80.472343,427.988014239764,,,,0.0,0,False,False,True,False,True,False,False,False,True
4.61,7.0,2.6,3.2,113.28,1847.44,74.33,18.473966,86.109857,20.082991,83.118426,361.362189576354,,,,0.0,1,False,False,True,True,False,False,False,False,False
1.32,6.0,4.1,4.5,72.64,1794.8,47.45,14.52999,78.36249,21.427779,83.34836,930.5417029155748,,,,0.0,0,False,True,False,True,False,True,False,False,True
18.91,4.0,4.5,4.2,32.44,1542.94,22.21,13.429301,78.290829,13.951955,81.113552,310.4401234066372,,,,0.0,0,False,True,False,True,False,False,False,True,False
1.32,5.0,2.8,4.0,114.0,1215.47,55.22,15.63891,87.704574,19.793578,86.875378,470.2481323851682,,,,0.0,1,False,False,True,False,False,False,True,False,False
18.0,10.0,5.0,4.4,36.63,1319.5,85.63,20.904703,87.050614,20.954014,83.871249,330.24404850758015,,,,0.0,0,False,False,False,True,False,False,False,False,False
12.9,10.0,3.3,4.4,73.82,1958.49,6.89,21.145765,81.740436,18.712736,86.41711,558.6866405004403,,,,0.0,1,False,False,True,True,False,True,False,True,False
22.58,8.0,4.1,4.6,79.73,600.85,37.76,14.203475,77.819664,14.32718,78.646128,90.12079009723702,,,,0.0,1,False,False,False,True,False,False,True,False,False
15.34,2.0,4.3,3.8,23.54,950.14,98.94,12.878906,81.691649,15.131849,86.018899,529.7936414817219,,,,0.0,0,True,False,False,False,False,True,False,True,False
9.64,3.0,2.6,3.7,109.15,1728.54,55.88,20.664072,79.015535,16.511111,85.649124,837.6813891060294,,,,0.0,1,False,False,True,False,False,True,False,False,False
10.42,8.0,3.9,2.9,115.69,440.82,70.41,17.597781,86.897815,18.086547,80.911213,635.9602672394453,,,,0.0,1,True,False,False,True,False,False,True,False,True
12.63,2.0,3.8,3.2,29.12,215.91,91.94,14.082501,79.313765,15.887518,79.672521,204.37419749031108,,,,0.0,0,False,True,False,False,True,False,True,True,False
12.7,2.0,4.8,4.7,70.4,1606.19,28.42,19.592541,86.682688,18.441672,82.959893,411.7385333531253,,,,0.0,0,False,False,True,False,True,True,False,True,False
12.97,5.0,4.0,4.4,116.43,554.58,1.29,13.140203,84.190237,16.521642,87.436243,512.905255400606,,,,0.0,1,True,False,False,False,False,True,False,True,False
16.83,8.0,3.8,2.9,62.32,1289.0,35.81,17.885866,87.2673,19.496469,82.318768,551.1026459408671,,,,0.0,0,False,False,False,False,False,False,True,False,True
8.4,1.0,4.0,2.6,97.6,216.86,48.19,14.634619,86.733493,18.593321,79.160326,918.975215644075,,,,0.0,1,True,False,False,False,True,False,True,False,True
5.36,4.0,3.2,3.9,80.62,760.11,67.86,19.487205,80.932031,21.748834,87.515253,729.7265199180185,,,,0.0,1,False,True,False,True,False,True,False,False,True
14.22,5.0,3.2,2.7,99.93,579.74,60.63,17.440649,78.890867,13.898466,85.362821,796.883901648427,,,,0.0,1,False,True,False,False,True,False,True,True,False
1.09,3.0,4.4,4.2,96.51,891.02,51.33,12.119879,80.70229,14.739014,80.154465,297.1991946178135,,,,0.0,1,False,False,False,False,True,False,True,False,True
1.81,3.0,2.9,2.7,18.67,1160.43,6.22,17.323192,86.8108,14.477986,83.355221,486.4300463331388,,,,0.0,0,False,False,False,False,False,False,True,True,False
7.09,7.0,4.8,3.1,46.33,424.3,2.22,12.929482,87.104639,20.417446,84.879964,865.630224016329,,,,0.0,0,False,False,True,False,False,False,True,False,True
19.46,5.0,4.5,3.1,103.89,1221.06,43.44,14.51671,81.25014,15.541507,79.255162,242.6594174280003,,,,0.0,1,False,False,True,False,True,False,True,False,False
10.65,2.0,3.4,3.9,88.24,1519.46,73.73,16.979702,86.130781,17.040384,78.93715,764.8893082709211,,,,0.0,1,False,False,False,False,False,True,False,False,True
9.44,3.0,3.1,2.8,49.57,382.57,51.89,21.899732,84.177465,20.872473,81.010938,347.17472337858754,,,,0.0,0,False,False,True,False,True,True,False,False,True
8.7,1.0,4.2,4.8,99.99,1582.26,83.68,12.134275,82.230408,17.323721,81.726311,579.5788585257819,,,,0.0,1,True,False,False,False,True,True,False,False,True
10.76,6.0,2.8,3.2,78.64,1883.26,82.53,17.072037,77.849051,16.847879,85.580386,822.6203884502481,,,,0.0,1,True,False,False,False,True,False,False,True,False
16.03,3.0,4.1,2.8,98.69,1181.28,48.43,14.502324,83.143119,14.676113,86.943648,409.4248456566389,,,,0.0,1,False,False,False,True,False,True,False,False,False
14.85,1.0,3.5,2.9,32.57,1920.15,32.68,14.107859,85.117905,18.193135,85.990779,463.7250193425681,,,,0.0,0,True,False,False,True,False,True,False,False,True
7.87,5.0,3.8,3.7,21.7,1070.91,69.6,16.150712,81.29193,21.834046,82.035418,636.7690239835514,,,,0.0,0,False,False,False,False,False,True,False,True,False
9.88,9.0,3.0,4.3,22.48,1625.35,16.91,20.197718,80.603484,15.466033,78.324377,578.7748293539574,,,,0.0,0,False,False,True,True,False,True,False,True,False
14.12,8.0,4.5,4.2,95.64,1904.56,8.01,19.537173,87.663414,15.946469,85.2729,472.7389815642424,,,,0.0,1,False,True,False,False,False,True,False,True,False
23.79,6.0,3.5,4.7,26.47,209.14,15.7,20.28457,82.704094,18.180192,79.767254,387.0512849724883,,,,0.0,0,False,False,True,True,False,True,False,False,False
10.11,3.0,3.3,3.0,60.19,132.04,61.24,12.791817,84.30232,20.556468,86.535114,895.4872052056099,,,,0.0,0,False,True,False,False,False,False,True,False,False
